Number Order Height TxHash Address Amount(Meer) TimeWeight TotalLockAmount(Meer) profit(Meer)
89 86423 86410 f27262ff5a777975f6ab253570bf2e7bf8ed0f553efb05301701fc7ab9bf40e4 MmSasqB3R1cG3UFQf2vK1z24ueMpQ46gir3 500.00000000 5 117891.79189685 66.32205822
90 86430 86417 54edc8afda09d4e51e237dcbd5fecc525bbcde04a5ec8461c33654e10c566ec8 MmUya7ER51XDK9RxLkNXJWqRCwB5kKbW4nk 500.00000000 5 118391.79189685 66.32205822
91 87891 87878 1d15e2511e55dd578448b6f68eac77bfe151067477c4b8dbc130830ceb5c9469 MmdUYVcpbZviqhfmpECjibiahC7D9bhEMpg 500.00000000 5 118891.79189685 66.32205822
92 88080 88067 279a9fa4e24c2feff7d20b05ee72c461c1ec9366ed62d27b91bee3875082bfbb MmfFwmZMZpaxRGXC7eeND53W7ogybC7Z36A 30.00000000 5 118921.79189685 3.97932349
93 88349 88336 c93eaa7ff9e741b106fb36d67830f24ea69810054315c1ff0f110efdf63c384d MmaXQdHQSMYa1xCgYTvvsvpShbeRP52fz1p 50.00000000 5 118971.79189685 6.63220582
94 88461 88448 6d8f96b2cdc69e146538fea6b24a794326ae348421c5fa264b30998c2a286b48 MmdjjVhp5NNfoHmXc9muaywr5FiaswdGfMt 1000.00000000 5 119971.79189685 132.64411645
95 88496 88483 e802a34d88d033be057a58c24c65be8e58f349be0b16534fe320334a0ab56c37 Mmc3SKqDmGZqaKLdUYE6S6ufkJsorX4wf6U 0.00800000 5 119971.79989685 0.00106115
96 88593 88580 a7bc6884ae9e6a0f946fc7a5b20894ca49b6fdbe04e047eae6a0fddc48dfd78e MmfJRVdp1ZfhQnV9s1pEnPkeTKP7F41Yzbq 0.00070000 5 119971.80059685 0.00009285
97 88636 88623 4c7f33f2458bca7acc3d592be4e326838d2d54695a3baf3ef23bc79c0e15dfbb MmefBoxbSgopsKZgzCfPp7JdbfNki3Kx9Q3 200.00000000 5 120171.80059685 26.52882329
98 88816 88803 dfc92dddda0ea13d9818f3bd12e86e8785f0288480074578fea14f79336cd453 MmdWkKnHxm8FEmrnqtG2dcmQujBCsYUF55b 500.00000000 5 120671.80059685 66.32205822
99 88998 88985 d6807de6e0160ad767435dcc1171ace0282fac17251a734daf60ea5ad4ad3159 MmTA7j1Jvm9eKpLYXocwKvQsJ9BBp2X8a4j 1465.75000000 5 122137.55059685 194.42311369
100 89141 89128 8f9405c4e979d1667f1bea2e1ecf1b8337a9cf91dc31d675786f956b8183ca97 MmQKu9HbTos6gD4wR2deErWTXdjR55vM3Sp 200.00000000 5 122337.55059685 26.52882329
101 89151 89138 0a749327c6d8aaf4d84d0eec76b5ad42b48edcb661135c8bc32612f54c57c16e MmXhimpYtVC62sPEHGEipmRct4WUPJab4rK 200.00000000 5 122537.55059685 26.52882329
102 89234 89221 c6fd40abbf1dbb85ae803042f92962095a42de4f575587abfae69f2a02f10192 MmVxJXWDHgNcu4KexzUmHYKHwm8ZsiR1CcS 545.00000000 5 123082.55059685 72.29104346
103 89355 89342 88860fa3310b5637a337e569667f715b5d04f6feed679fa1ce9e5c7f7ac9c863 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 500.00000000 5 123582.55059685 66.32205822
104 89361 89348 908787d2f35f10d9f77484b86a3dd6be0001407b4d4a6c08a07de427aa132824 MmYZ2kMr3teFLN8JKFrsSPuZN8yyB7brwSB 1000.00000000 5 124582.55059685 132.64411645
105 89514 89501 4bb02ed8812c63fe7d0a29452d8a1cb6c32b36a113e4804295239a812f125dce MmT9wChLYSjadTkGpXpqVCXrdUk5bdh3MEm 48.00000000 5 124630.55059685 6.36691758
106 89645 89632 e0c10c82cd2ae8428b12d8418385c8b58dca9f796cf19b7c48275a35ef6fc0d1 MmSSEfiNUjq6rExgFpyTV93gZ93yWedsry9 500.00000000 5 125130.55059685 66.32205822
107 89670 89657 98e4b0d5216ff07cffa6cf0b3d42b738fc405c8f4ec5bc9331b762ebfaa9861a MmSSEfiNUjq6rExgFpyTV93gZ93yWedsry9 499.90000000 5 125630.45059685 66.30879381
108 89676 89663 2864b6dcd4b665adb3792ea6c2e59c59147d820c19cbf39527aab2a12a1a6bfe MmPrxa2koRxwemeaND52zi3bjemR7zZnT5Q 7199.00000000 5 132829.45059685 954.90499434
109 89784 89771 2bba5134d6103f8fd878d1878e1ca3128b458a79d25ef94a90c88733a66c7f8e MmUmmioxptBBkYgLhBKgPdKJN4ra58FZGQB 1000.00000000 5 133829.45059685 132.64411645
110 89982 89969 e590e1ee32fb04451bc860dce6e349864b12a3679d9543e7ba7ade9536746179 Mmb5rv26dnunUGMTQSMamnUmsyi38QsE8PS 100.00000000 5 133929.45059685 13.26441164
111 90478 90465 2d625d18d3c2fa80e597e9ea1fe7ed2426fa3c5a65fc4c5230705515fcd745eb MmbEd9eFQjwRrKprKadaUnMMkg3SYA3eAmV 40.00000000 5 133969.45059685 5.30576465
112 90932 90919 b94cbae43d06c7a3e5a48a6bdc8c3baf61a710eff5e81b0866f22ab3d7c56695 MmZRuWLvoQE8vm9RzEL7UaMKzjeMw3SmWtN 100.00000000 5 134069.45059685 13.26441164
113 90941 90928 4bb6f2ae576918ed12134ff65c7d0e72b49188d63745127bef3b347858507511 MmNCfHzG31GbZDS7abUEkbSt137ofFiVJqm 24.00000000 5 134093.45059685 3.18345879
114 90967 90954 74bbe12e928fdc7290ee3a568623f71b48daa9b552d4b88794d60d5ca0f871ae MmaXQdHQSMYa1xCgYTvvsvpShbeRP52fz1p 5.00000000 5 134098.45059685 0.66322058
115 91135 91122 56757e17ef16d24c180850ea0091fc35387c2e76ab53e91f26a422bea2574bab MmRoZpTtobGMyGSYd6mckwrou4s9YLbCdDG 51.00000000 5 134149.45059685 6.76484993
116 91646 91633 ade76ff8f43aac5615d617ece06ae0a8c5fbe7e8d2357d09ab3e6f038412d2df MmTJYKQHZjKkiSCYQPVxMKB8dFzTLfivCxQ 25.00000000 5 134174.45059685 3.31610291
117 91770 91757 009442bc89819f2258f0bff044cfc7566fb619f76c14092f82b380b9e0269017 MmS8BCLh3FCZcycVnpLF6B5u87EULFxpKpM 499.00000000 5 134673.45059685 66.18941411
118 91822 91809 b504ba06e3fbeb9017ceab2c8348183761198e43e1ae841eefa068ed55279b45 Mma8GTbvXDxMTX4wzQaqHKDDKdS6eHxMSJz 2.80000000 5 134676.25059685 0.37140352
119 91828 91815 329f05f9e6bbcf47460af3569fa10b4d6a62955ec5e06aa1ff259d32418c5bf5 MmL3Uqm518c8drKma4VjmhRkwr6XBqpdzgX 22.56000000 5 134698.81059685 2.99245126
120 92439 92426 60937aec02fb3415ad35dc3cc41cf1b25220223865f7dbbf89b56450ff645b96 MmcMivpY8AX5gqieDHchQTa5G1qMQr2ZDye 145.99000000 5 134844.80059685 19.36471456
121 92454 92441 8d50adf455a74e144eccd5f145cf59cf8e08a2bfd7564972d73dff9bcb79b0aa MmdR4wFRXWCRbfAkTaNjk1vYSVLHwmSdhX5 6.00000000 5 134850.80059685 0.79586469
122 92494 92481 e514546b706089c50f21a4084aff3d1b302de64bf2c27dfab6a26ba288cf8bc5 MmQN1divTo9jFx9cx4yAktQQrnBB9SKqAy2 0.99900000 5 134851.79959685 0.13251147
123 92498 92485 a37f80ba6a75c5d686613dbbac4b8daceb1e6a98d4bd9e050125931156cf070b MmLUPq8HMfz8dk9P28dG86SoVXYjLJ8weGu 200.00000000 5 135051.79959685 26.52882329
124 93441 93428 2dc220647cc7e6d5835c558dc0952be325454c884aaefb43f6b2144c3ca94058 MmQKu9HbTos6gD4wR2deErWTXdjR55vM3Sp 150.00000000 5 135201.79959685 19.89661746
125 93713 93700 43fdd2633f2e8a98d7285d960f742e381da0485e76b89242a7a230695dcf2f0d MmaXQdHQSMYa1xCgYTvvsvpShbeRP52fz1p 100.00000000 5 135301.79959685 13.26441164
126 93747 93734 eaa5ddce49f49b9061ac8d2035b7c9c4299c886ce05a4f9e326976ac0c546dae MmheZL6SN8RhzTtLdN4bhK7GXCZCbNmvVyY 10.00000000 5 135311.79959685 1.32644116
127 94207 94194 2ad184bce4aae9cfa1546cdcd569cbd6f41e1cd40a0460d3d62ca234ab40cc3d Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 135811.79959685 66.32205822
128 94208 94195 70c17094f7ea58d9720178ac78736ed4fd8efbbd430f1223333dc13c8c191966 Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 136311.79959685 66.32205822
129 94213 94200 23ae69a815c0b08cabdc2da4006f18c676fbec0a5e70eae84e7f4dd7c9c3aa2e Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 136811.79959685 66.32205822
130 94213 94200 86fe44ca9bcf41958b98c84e3046525b282d859a34e6bda02c095df1da1f4d1d Mmbb6ThuS7YMQgNuqWNJnXugBJ47cW9wimK 500.00000000 5 137311.79959685 66.32205822
