Number Order Height Address Amount(Meer) ComProfit(Meer)
2984 761057 678469 MmU58TusQiwY1vxaehsFYcbSwrWsBMmNzd8 1095.00000000 155.53321907
2985 761312 678682 MmZKUSnb4oGQALYNkfC4buKYRvKXXpWC8Qp 258.00000000 36.64618312
2986 761871 679143 MmYAUhu9fTFsoSyvUUWQNikPWcn4u1B9dmi 4900.00000000 695.99340043
2987 761973 679220 MmRVfzXwEExEyfEA1V6Xx27LMjByPF2GPwE 701.00000000 99.56966810
2988 761974 679221 MmYuxCeRfWNf4VKhN1CuUQ34Rax99YGBxDd 701.00000000 99.56966810
2989 762035 679274 MmceZEC9YZyEkwe6WVX1s3JCEdYPaohGRLZ 583.00000000 82.80901070
2990 762183 679404 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 41.00000000 5.82361824
2991 762465 679652 MmRFZ95xQzJCnbQPcY2o1EG1SrJmYB3sPmD 3.20000000 0.45452630
2992 763938 681027 MmPLTR1gSP7ER8f52WriD1sTQMULLf9PnHU 123.00000000 17.47085474
2993 764494 681453 MmWoDg47F2Kmwm6aKsG3rhgZzpQqSTqRB9g 2040.00000000 289.76051773
2994 764597 681543 Mmi8oYtiWiaNcos5JHMR4gLmK5s1gFEE8hX 174.00000000 24.71486768
2995 764843 681732 MmRLexyXJaPSBtAhNde9ytUr97q7PRSBzzZ 2000.00000000 284.07893895
2996 764862 681747 Mmc7HpAfxJLEryGhytHrC2UfjnMdgwGeDYM 10000.00000000 1420.39469476
2997 764863 681748 MmguKTvDdpq668U4DfsUFZXVBYjKYbha5pn 270.00000000 38.35065675
2998 765012 681862 MmMP7qSXAUak3SyzEtALtd7HH9FZzNxi6qZ 2000.00000000 284.07893895
2999 765455 682224 MmR7STCsZ7v5J4CWPieyP72fdB1vHqQCnHj 290.00000000 41.19144614
3000 767126 683796 MmRLexyXJaPSBtAhNde9ytUr97q7PRSBzzZ 5000.00000000 710.19734738
3001 767520 684084 MmM9X8x1TjwNc1fPkzq2hj37CFpMS3fZ3tb 900.00000000 127.83552252
3002 767581 684125 MmQzua4Wxa6y1yjwfXdCeFhgZccCjJDuycj 600.00000000 85.22368168
3003 767731 684255 MmZjs47bHAs9TwLx48sKGBLMrM48MnS3rHn 600.00000000 85.22368168
3004 767919 684411 MmYfc3JmygGmzje3RroCcxSxEDHZZF3pjwM 347.00000000 49.28769590
3005 767985 684469 MmbAGWRCnhPBufN3VX8V45bvvAHsbdr9WBJ 400.00000000 56.81578779
3006 768143 684610 MmNFiqc9VtMgGCXZABuZj7uexx7sKnqL1xf 421.60000000 59.88384033
3007 768239 684705 MmRnJ2VuUp18QsoyDMdruPaewirB8isMUc2 1800.00000000 255.67104505
3008 768489 684931 MmVc3REctzTgBWvWjEds7zawTt1Ec9dJf8c 2000.00000000 284.07893895
3009 768538 684976 Mmgty6UaEYTtFLp65JGiiGPFDhPjDM8rPvx 1200.00000000 170.44736337
3010 769290 685696 Mmc6fGJRnjMi43hJfxUQPsKmHYyBrLJMiEn 6500.00000000 923.25655159
3011 769829 686231 MmiAZpXeVFKjnYMd9EUoah5vbrrCgSF4WZ5 2000.00000000 284.07893895
3012 770109 686490 Mmic6JNaMAj9wMYufgZiZBLBaG56LwEaXuv 370.00000000 52.55460370
3013 770111 686491 MmUSWk6nRckguXPTFVrhK9wCFVmQufG34No 340.00000000 48.29341962
3014 770225 686580 MmNSmWkZHzoXTnPgKFe5qvRZjuCS6aXkPaY 100.00000000 14.20394694
3015 770805 687025 MmWSXnMoxiZuma4D7TYpQZ6uLFYpiXa8c8X 40.00000000 5.68157877
3016 771168 687290 MmLYAuZ5UgYrzYJLorb7UkHC2KA2R3cc7YW 4000.00000000 568.15787790
3017 771441 687512 MmWAX7qBZYhNBhcRoQyeieD5dNGJbNK2ED1 22400.00000000 3181.68411626
3018 771915 687943 Mmet4yK7mcjgxSauQN9cwvuYQJsVAJ2dkJb 1000.00000000 142.03946947
3019 772393 688356 MmiJzXoLvoBZiiwMtWLbN2grHRZykRWyzNq 13500.00000000 1917.53283792
3020 774198 689974 Mmh9P83PT1NYdfT4Dp8gTRQu79zHbeKrQTS 1200.00000000 170.44736337
3021 774312 690057 MmZKUSnb4oGQALYNkfC4buKYRvKXXpWC8Qp 164.00000000 23.29447299
3022 774591 690280 MmNCXReEaFeMsFdBtrEqKqB1ryk5QLG7kMv 1000.00000000 142.03946947
3023 774614 690299 MmRoxpUEEixdHt2cjN5j993NHTVNpqULRPL 999.90000000 142.02526552
3024 775136 690746 MmQk7rJH19WMZwzAm3UFS8721RgHcnD5q15 3000.00000000 426.11840842
3025 776299 691852 MmZNJDeyZu7EMJsovsw8UweFiSMWnrUhnPS 100.00000000 14.20394694
3026 776302 691855 MmgmZdYombwcny2su5EfiWv6SXmiKNZAneU 100.00000000 14.20394694
3027 777216 692626 MmTPK6dF4rTF74M1XRR82aqNxjN6mNroev8 41.00000000 5.82361824
3028 777403 692764 MmSUGSVib2e7AG9kXrZpQHV6Z3SxdDsnjr9 500.00000000 71.01973473
3029 778144 693412 MmiTMKzVyjokcpfoCfL1w6JBB2xnPuro8f7 42.30000000 6.00826955
3030 778163 693428 MmQri9Tmdq65FbAPnULPT7FDHLw2MFTJvyp 1799.00000000 255.52900558
3031 778878 694120 MmSeQzm7byCBQUGPHRfQXwk89B5gq7URoLT 1000.00000000 142.03946947
3032 779045 694286 MmiCLbJe1AGNnw6WVPSjBC6VihNEwjMoMhH 491.00000000 69.74137951
